NumMensaje,Algoritmo,MensajeOriginalASCII,LargoOriginalASCII,MensajeBinario,LargoBinario,MensajeCodificado,LargoCodificado,MensajeEnviado,NoiseProb,BitsFlippeados
18,crc,gqjulfmbvebsto,14,0110011101110001011010100111010101101100011001100110110101100010011101100110010101100010011100110111010001101111,112,011001110111000101101010011101010110110001100110011011010110001001110110011001010110001001110011011101000110111101111100110100110100100011011010,144,011001110111000101101010011101010110110001100110011011010110001001110110011001010110001001110011011101000110111101111100110100110100100011011010,0.001,0
19,crc,jxlddnfikbhpfhz,15,011010100111100001101100011001000110010001101110011001100110100101101011011000100110100001110000011001100110100001111010,120,01101010011110000110110001100100011001000110111001100110011010010110101101100010011010000111000001100110011010000111101000000100011010011101010000110101,152,01101010011110000110110001100100011001000110111001100110011010010110101101100010011010000111000001100110011010000111101000000100011010011101010000110101,0.001,0
20,crc,dsjedtgimdvybtd,15,011001000111001101101010011001010110010001110100011001110110100101101101011001000111011001111001011000100111010001100100,120,01100100011100110110101001100101011001000111010001100111011010010110110101100100011101100111100101100010011101000110010010110110101101010001100111010001,152,01100100011100110110101001100101011001000111010001100111011010010110110101100100011101100111100101100010011101000110010010110110101101010001100111010001,0.001,0
21,crc,gwqdndjoys,10,01100111011101110111000101100100011011100110010001101010011011110111100101110011,80,0110011101110111011100010110010001101110011001000110101001101111011110010111001100100101110111011110011001111111,112,0110011101110111011100010110010001101110011001000110101001101111011110010111001100000101110111011110011001111111,0.001,1
22,crc,pmetropzfpwnbt,14,0111000001101101011001010111010001110010011011110111000001111010011001100111000001110111011011100110001001110100,112,011100000110110101100101011101000111001001101111011100000111101001100110011100000111011101101110011000100111010010001010010100101000000101101001,144,011100000110110101100101011101000111001001101111011100000111101001100110011100000111011101101110011000100111010010001010010100101000000101101001,0.001,0
23,crc,ralfxskjjz,10,01110010011000010110110001100110011110000111001101101011011010100110101001111010,80,0111001001100001011011000110011001111000011100110110101101101010011010100111101011101010101010100101010001010111,112,0111001001100001011011000110011001111000011100110110101101101010011010100111101011101010101010100101010001010111,0.001,0
24,crc,akjsfxlmv,9,011000010110101101101010011100110110011001111000011011000110110101110110,72,01100001011010110110101001110011011001100111100001101100011011010111011000010010111000011010100001011001,104,01100001011010110110101001110011011001100111100001101100011011010111011000010010111000011010100001011001,0.001,0
25,crc,policigxoouwij,14,0111000001101111011011000110100101100011011010010110011101111000011011110110111101110101011101110110100101101010,112,011100000110111101101100011010010110001101101001011001110111100001101111011011110111010101110111011010010110101000101101111010001101100001111111,144,011100000110111101101100011010010110001101101001011001110111100001101111011011110111010101110111011010010110101000101101111010001101100001111111,0.001,0
26,crc,zzsuzxhze,9,011110100111101001110011011101010111101001111000011010000111101001100101,72,01111010011110100111001101110101011110100111100001101000011110100110010110001011010111100110100001010111,104,01111010011110100111001101110101011110100111100001101000011110100110010110001011010111100110100001010111,0.001,0
27,crc,xdwpmuv,7,01111000011001000111011101110000011011010111010101110110,56,0111100001100100011101110111000001101101011101010111011001011010011000101001000111110100,88,0111100001100100011101110111000001101101011101010111011001011010011000101001000111110100,0.001,0
28,crc,kkpvz,5,0110101101101011011100000111011001111010,40,011010110110101101110000011101100111101001011001101000111110111101000001,72,011010110110101101110000011101100111101001011001101000111110111101000001,0.001,0
29,crc,sadfdp,6,011100110110000101100100011001100110010001110000,48,01110011011000010110010001100110011001000111000000110001101011001000100001101000,80,01110011011000010110010001100110011001000111000000110001101011001000100001101000,0.001,0
30,crc,atsmqjne,8,0110000101110100011100110110110101110001011010100110111001100101,64,011000010111010001110011011011010111000101101010011011100110010111011101001101010001110100010110,96,011000010111010001110011011011010111000101101010011011100110010111011101001101010001110100010110,0.001,0
31,crc,duxeawmmuewtodu,15,011001000111010101111000011001010110000101110111011011010110110101110101011001010111011101110100011011110110010001110101,120,01100100011101010111100001100101011000010111011101101101011011010111010101100101011101110111010001101111011001000111010101101001111001011000001101000010,152,01100100011101010111100001100101011000010111011101101101011011010111010101100101011101110111010001101111011001000111010101101001111001011000001101000010,0.001,0
32,crc,irqlwlfsklxvek,14,0110100101110010011100010110110001110111011011000110011001110011011010110110110001111000011101100110010101101011,112,011010010111001001110001011011000111011101101100011001100111001101101011011011000111100001110110011001010110101110101011100100110101100010101000,144,011010010111001001110001011011000111011101101100011001100111001101101011011011000111100001110110011001010110101110101011100100110101100010101000,0.001,0
33,crc,tawnxhvmnvdp,12,011101000110000101110111011011100111100001101000011101100110110101101110011101100110010001110000,96,01110100011000010111011101101110011110000110100001110110011011010110111001110110011001000111000011101100110100110110111100000001,128,01110100011000010111011101101110011110000110100001110110011011010110111001110110011001000111000011101100110100110110111100000001,0.001,0
34,crc,vxbbwwpt,8,0111011001111000011000100110001001110111011101110111000001110100,64,011101100111100001100010011000100111011101110111011100000111010010101001010101010111100101101101,96,011101100111100001100010011000100111011101110111011100000111010010101001010101010111100001101101,0.001,1
35,crc,nghjlwjqjs,10,01101110011001110110100001101010011011000111011101101010011100010110101001110011,80,0110111001100111011010000110101001101100011101110110101001110001011010100111001101011011000111000101110100101000,112,0110111001100111011010000110101001101100011101110110101001110001011010100111001101011011000111000101110100101000,0.001,0
36,crc,mgavkdqdzuiwllp,15,011011010110011101100001011101100110101101100100011100010110010001111010011101010110100101110111011011000110110001110000,120,01101101011001110110000101110110011010110110010001110001011001000111101001110101011010010111011101101100011011000111000000101001110111000000001101010010,152,01101101011001110110000101110110011010110110010001110001011001000111101001110101011010010111011101101100011011000111000000101001110111000000001101010010,0.001,0
37,crc,ixwvndtkeotr,12,011010010111100001110111011101100110111001100100011101000110101101100101011011110111010001110010,96,01101001011110000111011101110110011011100110010001110100011010110110010101101111011101000111001001100011000000011111001111000100,128,01101001011110000111011101110110011011100110010001110100011010110110010101101111011101000111001001100011000000011111001111000100,0.001,0
38,crc,otlmmd,6,011011110111010001101100011011010110110101100100,48,01101111011101000110110001101101011011010110010011101111010000011111101001000000,80,01101111011101000110110001101101011011010110010011101111010000011111101001000000,0.001,0
39,crc,whjooi,6,011101110110100001101010011011110110111101101001,48,01110111011010000110101001101111011011110110100111001111101111001001010110111000,80,01110111011010000110101001101111011011110110100111001111101111001001010110111000,0.001,0
40,crc,gwnazlkh,8,0110011101110111011011100110000101111010011011000110101101101000,64,011001110111011101101110011000010111101001101100011010110110100010000000010000001000000100000011,96,011001110111011101101110011000010111101001101100011010110110100010000000010000001000000100000011,0.001,0
41,crc,fymfzeumwkzrva,14,0110011001111001011011010110011001111010011001010111010101101101011101110110101101111010011100100111011001100001,112,011001100111100101101101011001100111101001100101011101010110110101110111011010110111101001110010011101100110000110000111111101011001000110011111,144,011001100111100101101101011001100111101001100101011101010110110101110111011010110111101001110010011101100110000110000111111101011001000110011111,0.001,0
42,crc,yuhpfye,7,01111001011101010110100001110000011001100111100101100101,56,0111100101110101011010000111000001100110011110010110010111110010011100011010101000011110,88,0111100101110101011010000111000001100110011110010110010111110010011100011010101000011110,0.001,0
43,crc,hlopqhwujgw,11,0110100001101100011011110111000001110001011010000111011101110101011010100110011101110111,88,011010000110110001101111011100000111000101101000011101110111010101101010011001110111011101111101111101111001000001011010,120,011010000110110001101111011100000111000101101000011101110111010101101010011001110111011101111101111101111001000001011010,0.001,0
44,crc,fwtgalpwhdpie,13,01100110011101110111010001100111011000010110110001110000011101110110100001100100011100000110100101100101,104,0110011001110111011101000110011101100001011011000111000001110111011010000110010001110000011010010110010101111010011100111010100111110010,136,0110011001110111011101000110011101100001011011000111000001110111011010000110010001110000011010010110010101111010011100111010100111110010,0.001,0
45,crc,cqgzgevcie,10,01100011011100010110011101111010011001110110010101110110011000110110100101100101,80,0110001101110001011001110111101001100111011001010111011001100011011010010110010101100101101101010010111010001011,112,0110001101110001011001100111101001100111011001010111011001100011011010010110010101100101101101010010111010001011,0.001,1
46,crc,kgkhekpht,9,011010110110011101101011011010000110010101101011011100000110100001110100,72,01101011011001110110101101101000011001010110101101110000011010000111010010011100010011111000001110111000,104,01101011011001110110101101101000011001010110101101110000011010000111010010011100010011111000001110111000,0.001,0
47,crc,nfchjlwhuj,10,01101110011001100110001101101000011010100110110001110111011010000111010101101010,80,0110111001100110011000110110100001101010011011000111011101101000011101010110101001011111010011101011000001111001,112,0110111001100110011000110110100001101010011011000111011101101000011101010110101001011111010011101011000001111001,0.001,0
48,crc,xntymwqccz,10,01111000011011100111010001111001011011010111011101110001011000110110001101111010,80,0111100001101110011101000111100101101101011101110111000101100011011000110111101001011011110101011100111100100011,112,0111100001101110011101000111100101101101011101110111000101100011011000110111101001011011110101011100111100100011,0.001,0
49,crc,dzrfcjuyvopsyzs,15,011001000111101001110010011001100110001101101010011101010111100101110110011011110111000001110011011110010111101001110011,120,01100100011110100111001001100110011000110110101001110101011110010111011001101111011100000111001101111001011110100111001110001101011010000111011100111001,152,01100100011110100111001001100110011000110110101001110101011110010111011001101111011100000111001101111001011110100111001110001101011010000111011100111001,0.001,0
50,crc,ecjcyiipmlnod,13,01100101011000110110101001100011011110010110100101101001011100000110110101101100011011100110111101100100,104,0110010101100011011010100110001101111001011010010110100101110000011011010110110001101110011011110110010010110111110001101110010101010101,136,0110010101100011011010100110001101111001011010010110100101110000011011010110110001101110011011110110010010110111110001101110010101010101,0.001,0
51,crc,youww,5,0111100101101111011101010111011101110111,40,011110010110111101110101011101110111011110101101100000000011001111100011,72,011110010110111101110101011101110111011110101101100000000011001111100011,0.001,0
52,crc,coiqxnszbkpgq,13,01100011011011110110100101110001011110000110111001110011011110100110001001101011011100000110011101110001,104,0110001101101111011010010111000101111000011011100111001101111010011000100110101101110000011001110111000101111011001000001111001010010000,136,0110001101101111011010010111000101111000011011100111001101111010011000100110101101110000011001110111000101111011001000001111001010010000,0.001,0
53,crc,gnsmmktp,8,0110011101101110011100110110110101101101011010110111010001110000,64,011001110110111001110011011011010110110101101011011101000111000000011110000010010100101100110001,96,011001110110111001110011011011010110110101101011011101000111000000011110000010010100101100110001,0.001,0
54,crc,rbkpybolfw,10,01110010011000100110101101110000011110010110001001101111011011000110011001110111,80,0111001001100010011010110111000001111001011000100110111101101100011001100111011100010010110110110111110110111100,112,0111001001100010011010110111000001111001011000100110111101101100011001100111011100010010110110110111110110111100,0.001,0
55,crc,pestbpcdydapztn,15,011100000110010101110011011101000110001001110000011000110110010001111001011001000110000101110000011110100111010001101110,120,01110000011001010111001101110100011000100111000001100011011001000111100101100100011000010111000001111010011101000110111010101011111110100001000001110001,152,01110000011001010111001101110100011000100111000001100011011001000111100101100100011000010111000001111010011101000110111010101011111110100001000001110001,0.001,0
56,crc,zsakbfjblnqg,12,011110100111001101100001011010110110001001100110011010100110001001101100011011100111000101100111,96,01111010011100110110000101101011011000100110011001101010011000100110110001101110011100010110011111010100000001010010111111101010,128,01111010011100110110000101101011011000100110011001101010011000100110110001101110011100010110011111010100000001010010111111101010,0.001,0
57,crc,towskgfnr,9,011101000110111101110111011100110110101101100111011001100110111001110010,72,01110100011011110111011101110011011010110110011101100110011011100111001010100111110010001100110111100111,104,01110100011011110111011101110011011010110110011101100110011011100111001010100111110010001100110111100111,0.001,0
58,crc,krhioboaqilsjvq,15,011010110111001001101000011010010110111101100010011011110110000101110001011010010110110001110011011010100111011001110001,120,01101011011100100110100001101001011011110110001001101111011000010111000101101001011011000111001101101010011101100111000101110011001111010101000101000100,152,01101011011100100110100001101001011011110110001001101111011000010111000101101001011011000111001101101010011101100111000101110011001111010101000101000100,0.001,0
59,crc,rnhlojaeuw,10,01110010011011100110100001101100011011110110101001100001011001010111010101110111,80,0111001001101110011010000110110001101111011010100110000101100101011101010111011110110001000000001101100010011000,112,0111001001101110011010000110110001101111011010100110000101100101011101010111011110110001000000001101100010011000,0.001,0
60,crc,mngaa,5,0110110101101110011001110110000101100001,40,011011010110111001100111011000010110000101110111101100100001001001011100,72,011011010110111001100111011000010110000101110111101100100001001001011100,0.001,0
61,crc,vtbrukvlebpcaty,15,011101100111010001100010011100100111010101101011011101100110110001100101011000100111000001100011011000010111010001111001,120,01110110011101000110001001110010011101010110101101110110011011000110010101100010011100000110001101100001011101000111100101100011100010111110111001001000,152,01110110011101000110001001110010011101010110101101110110011011000110010101100010011100000110001101100001011101000111100101100011100010111110111001001000,0.001,0
62,crc,yslvrqcdbmuppg,14,0111100101110011011011000111011001110010011100010110001101100100011000100110110101110101011100000111000001100111,112,011110010111001101101100011101100111001001110001011000110110010001100010011011010111010101110000011100000110011101001101111011010111100101110010,144,011110010111001101101100011101100111001001110001011000110110010001100010011011010111010101110000011100000110011101001101111011010111100101110010,0.001,0
63,crc,qgcihdvnefafpab,15,011100010110011101100011011010010110100001100100011101100110111001100101011001100110000101100110011100000110000101100010,120,01110001011001110110001101101001011010000110010001110110011011100110010101100110011000010110011001110000011000010110001011000101111100100101011100000111,152,01110001011001110110001101101001011010000110010001110110011011100110010101100110011000010110011001110000011000010110001011000101111100100101011100000111,0.001,0
64,crc,vanjlkpelishf,13,01110110011000010110111001101010011011000110101101110000011001010110110001101001011100110110100001100110,104,0111011001100001011011100110101001101100011010110111000001100101011011000110100101110011011010000110011010100100110111001011110110101010,136,0111011001100001011011100110101001101100011010110111000001100101011011000110100101110011011000000110011010100100110111001011110110101010,0.001,1
65,crc,ylypslu,7,01111001011011000111100101110000011100110110110001110101,56,0111100101101100011110010111000001110011011011000111010110111011110001111101000010010100,88,0111100101101100011110010111000001110011011011000111010110111011110001111101000010010100,0.001,0
66,crc,unycvthxhyl,11,0111010101101110011110010110001101110110011101000110100001111000011010000111100101101100,88,011101010110111001111001011000110111011001110100011010000111100001101000011110010110110011001101010001111100001000100101,120,011101010110111001111001011000110111011001110100011010000111100001101000011110010110110011001101010001111100001000100101,0.001,0
67,crc,jnbqxcwchjlu,12,011010100110111001100010011100010111100001100011011101110110001101101000011010100110110001110101,96,01101010011011100110001001110001011110000110001101110111011000110110100001101010011011000111010111010110011100110010000001011000,128,01101010011011100110001001110001011110000110001101110111011000110110100001101010011011000111010111010110011100110010000001011000,0.001,0
68,crc,pwokhlhjbvlvy,13,01110000011101110110111101101011011010000110110001101000011010100110001001110110011011000111011001111001,104,0111000001110111011011110110101101101000011011000110100001101010011000100111011001101100011101100111100111000010011001111000100100110011,136,0111000001110111011011110110101101101000011011000110100001101010011000100111011001101100011101100111100111000010011001111000100100110011,0.001,0
69,crc,izxnykaix,9,011010010111101001111000011011100111100101101011011000010110100101111000,72,01101001011110100111100001101110011110010110101101100001011010010111100001111101001100010010010000100100,104,01101001011110100111100001101110011110010110101101100001011010010111100001111101001100010010010000100100,0.001,0
70,crc,nlcxpyavszzvdur,15,011011100110110001100011011110000111000001111001011000010111011001110011011110100111101001110110011001000111010101110010,120,01101110011011000110001101111000011100000111100101100001011101100111001101111010011110100111011001100100011101010111001010110011000000101110110111011110,152,01101110011011000110001101111000011100000111100101100001011101100111001101111010011110100111011001100100011101010111001010110011000000101110110111011110,0.001,0
71,crc,dpsjqkk,7,01100100011100000111001101101010011100010110101101101011,56,0110010001110000011100110110101001110001011010110110101100001010000001000011111111101010,88,0110011001110000011100110110101001110001011010110110101100001010000001000011111111101010,0.001,1
72,crc,ndcsfsc,7,01101110011001000110001101110011011001100111001101100011,56,0110111001100100011000110111001101100110011100110110001111101110011010110000101000100000,88,0110111001100100011000110111001101100110011100110110001111101110011010110000101000100000,0.001,0
73,crc,aganlyvkwvfz,12,011000010110011101100001011011100110110001111001011101100110101101110111011101100110011001111010,96,01100001011001110110000101101110011011000111100101110110011010110111011101110110011001100111101011110011100001110000000010000011,128,01100001011001110110000101101110011011000111100101110110011010110111011101110110011001100111101011110011100001110000000010000011,0.001,0
74,crc,isqzdwsomu,10,01101001011100110111000101111010011001000111011101110011011011110110110101110101,80,0110100101110011011100010111101001100100011101110111001101101111011011010111010100111101000111101100010000010010,112,0110100101110011011100010111101001100110011101110111001101101111011011010111010100111101000111101100010000010010,0.001,1
75,crc,dbcnodkuh,9,011001000110001001100011011011100110111101100100011010110111010101101000,72,01100100011000100110001101101110011011110110010001101011011101010110100000000111011011011001101101000010,104,01100100011000100110001101101110011011110110010001101011011101010110100000000111011011011001101101000010,0.001,0
76,crc,amlbtdicxze,11,0110000101101101011011000110001001110100011001000110100101100011011110000111101001100101,88,011000010110110101101100011000100111010001100100011010010110001101111000011110100110010101110010010001000110101101000100,120,011000010110110101101100011000100111010001100100011010010110001101111000011110100110010101110010010001000110101101000100,0.001,0
77,crc,mahrlrfghoxfh,13,01101101011000010110100001110010011011000111001001100110011001110110100001101111011110000110011001101000,104,0110110101100001011010000111001001101100011100100110011001100111011010000110111101111000011001100110100010100100011010011001101100000111,136,0110110101100001011010000111001001101100011100100110011001100111011010000110111101111000011001100110100010100100011010011001101100000111,0.001,0
78,crc,gokucufu,8,0110011101101111011010110111010101100011011101010110011001110101,64,011001110110111101101011011101010110001101110101011001100111010111111001100100100110000100100101,96,011001110110111101101011011101010110001101110101011001100111010111111001100100100110000100100101,0.001,0
79,crc,rcvdpsj,7,01110010011000110111011001100100011100000111001101101010,56,0111001001100011011101100110010001110000011100110110101001010111101010011101110010010000,88,0111001001100011011101100110010001110000011100110110101001010111101010011101110010010000,0.001,0
80,crc,ncgdp,5,0110111001100011011001110110010001110000,40,011011100110001101100111011001000111000011010101101111110110010011100110,72,011011100110001101100111011001000111000011010101101111110110010011100110,0.001,0
81,crc,jedniza,7,01101010011001010110010001101110011010010111101001100001,56,0110101001100101011001000110111001101001011110100110000111110101101110110011001110011100,88,0110101001100101011001000110111001101001011110100110000111110101101110110011001110011100,0.001,0
82,crc,iimitre,7,01101001011010010110110101101001011101000111001001100101,56,0110100101101001011011010110100101110100011100100110010111111000000111001100110110000000,88,0110100101101001011011010110100101110100011100100110010111111000000111001100110110000000,0.001,0
83,crc,umhkw,5,0111010101101101011010000110101101110111,40,011101010110110101101000011010110111011100110000111100000111101100010111,72,011101010110110101101000011010110111011100110000111100000111101100010111,0.001,0
84,crc,ekedkxz,7,01100101011010110110010101100100011010110111100001111010,56,0110010101101011011001010110010001101011011110000111101011010000111100111001010011010001,88,0110010101101011011001010110010001101011011110000111101011010000111100111001010011010001,0.001,0
85,crc,viiwdeq,7,01110110011010010110100101110111011001000110010101110001,56,0111011001101001011010010111011101100100011001010111000100101111101100110101010001010000,88,0111011001101001011010010111011101100100011001010111000100101111101100110101010001010000,0.001,0
86,crc,opixcxkrkavgvb,14,0110111101110000011010010111100001100011011110000110101101110010011010110110000101110110011001110111011001100010,112,011011110111000001101001011110000110001101111000011010110111001001101011011000010111011001100111011101100110001011011000101101010010010101100111,144,011011110111000001101001011110000110001101111000011010110111001001101011011000010111011001100111011101100110001011011000101101010010010101100111,0.001,0
87,crc,edfrsgt,7,01100101011001000110011001110010011100110110011101110100,56,0110010101100100011001100111001001110011011001110111010000101011101000001000010111000110,88,0110010101100100011001100111001001110011011001110111010000101011101000001000010111000110,0.001,0
88,crc,rcsmmh,6,011100100110001101110011011011010110110101101000,48,01110010011000110111001101101101011011010110100010000011000001011010101101110101,80,01110010011000110111001101101101011011010110100010000011000001011010101101110101,0.001,0
89,crc,czndgcytttubd,13,01100011011110100110111001100100011001110110001101111001011101000111010001110100011101010110001001100100,104,0110001101111010011011100110010001100111011000110111100101110100011101000111010001110101011000100110010010000000100110100110011010110010,136,0110001101111010011011100110010001100111011000110111100101110100011101000111010001110101011000100110010010000000100110100110011010110010,0.001,0
90,crc,oqeqdyxofr,10,01101111011100010110010101110001011001000111100101111000011011110110011001110010,80,0110111101110001011001010111000101100100011110010111100001101111011001100111001011110001101000011000001011110000,112,0110111101110001011001010111000101100100011110010111100001101111011001100111001011110001101000011000001011110000,0.001,0
91,crc,wbhtmsq,7,01110111011000100110100001110100011011010111001101110001,56,0111011101100010011010000111010001101101011100110111000111011111100111111010011100100001,88,0111011101100010011010000111010001101101011100110111000111011111100111111010011100100001,0.001,0
92,crc,timgc,5,0111010001101001011011010110011101100011,40,011101000110100101101101011001110110001100110010010101101001110001101010,72,011101000110100101101101011001110110001100110010010101101001110001101010,0.001,0
93,crc,nbdbjiqltbiunk,14,0110111001100010011001000110001001101010011010010111000101101100011101000110001001101001011101010110111001101011,112,011011100110001001100100011000100110101001101001011100010110110001110100011000100110100101110101011011100110101110000111000111000010011100011101,144,011011100110001001100100011000100110101001101001011100010110110001110100011000100110100101110101011011100110101110000111000111000010011100011101,0.001,0
94,crc,kaafnkzkrjwo,12,011010110110000101100001011001100110111001101011011110100110101101110010011010100111011101101111,96,01101011011000010110000101100110011011100110101101111010011010110111001001101010011101110110111110010011100111011010011110000101,128,01101011011000010110000101100110011011100100101101111010011010110111001001101010011101110110111110010011100111011010011110000101,0.001,1
95,crc,figwejvj,8,0110011001101001011001110111011101100101011010100111011001101010,64,011001100110100101100111011101110110010101101010011101100110101010101110001100010110001110101111,96,011001100110100101100111011101110110010101101010011101100110101010101110001100010110001110101111,0.001,0
96,crc,zrrhaaqcqfeyfuf,15,011110100111001001110010011010000110000101100001011100010110001101110001011001100110010101111001011001100111010101100110,120,01111010011100100111001001101000011000010110000101110001011000110111000101100110011001010111100101100110011101010110011000110110001000001000100001001011,152,01111010011100100111001001101000011000010110000101110001011000110111000101100110011001010111100101100110011101010110011000110110001000001000100001001011,0.001,0
97,crc,ofhikfvfbzral,13,01101111011001100110100001101001011010110110011001110110011001100110001001111010011100100110000101101100,104,0110111101100110011010000110100101101011011001100111011001100110011000100111101001110010011000010110110000110111001111011100100010101011,136,0110111101100110011010000110100101101011011001100111011001100110011000100111101001110010011000010110110000110111001111011100100010101011,0.001,0
98,crc,uwddoxj,7,01110101011101110110010001100100011011110111100001101010,56,0111010101110111011001000110010001101111011110000110101011100100111001110101101111110111,88,0111010101110111011001000110010001101111011110000110101011100100111001110101101111110111,0.001,0
99,crc,cppkhnhe,8,0110001101110000011100000110101101101000011011100110100001100101,64,011000110111000001110000011010110110100001101110011010000110010100011110110010011010111000111001,96,011000110111000001110000011010110110100001101110011010000110010100011110110010011010111000111001,0.001,0
100,crc,dktzyh,6,011001000110101101110100011110100111100101101000,48,01100100011010110111010001111010011110010110100011001100111010100101101100101011,80,01100100011010110111010001111010011110010110100011001100111010100101101100101011,0.001,0
101,crc,espgdeaozfllxpl,15,011001010111001101110000011001110110010001100101011000010110111101111010011001100110110001101100011110000111000001101100,120,01100101011100110111000001100111011001000110010101100001011011110111101001100110011011000110110001111000011100000110110011001001000101000100011011010100,152,01100101011100110111000001100111011001000110010101100001011011110111101001100110011011000110110001111000011100000110110011001001000101000100011011010100,0.001,0
102,crc,yxeim,5,0111100101111000011001010110100101101101,40,011110010111100001100101011010010110110101010101010010110011100100010000,72,011110010111100001100101011010010110110101010101010010111011100100010000,0.001,1
103,crc,flqupmve,8,0110011001101100011100010111010101110000011011010111011001100101,64,011001100110110001110001011101010111000001101101011101100110010110100001011100010101001001010111,96,011001100110110001110001011101010111000001101101011101100110010110100001011100010101001001010111,0.001,0
