NumMensaje,Algoritmo,MensajeOriginalASCII,LargoOriginalASCII,MensajeBinario,LargoBinario,MensajeCodificado,LargoCodificado,MensajeEnviado,NoiseProb,BitsFlippeados
52,hamming,xlrzjhwljnhhf,13,01111000011011000111001001111010011010100110100001110111011011000110101001101110011010000110100001100110,104,110011101000011001100011100100101110100110101001101000011101110111011000110101001101110011010000110100001100110,111,110011101000011001100011100100101110100110101001101000011101110111011000110101001101110011010000110100001100110,0.001,0
53,hamming,ngbxedpynjw,11,0110111001100111011000100111100001100101011001000111000001111001011011100110101001110111,88,11001100111001110011101100010011111000011001010110010001110000001111001011011100110101001110111,95,11001100111001110011101100010011111000011001010110010001110000001111001011011100110101001110111,0.001,0
54,hamming,sirrth,6,011100110110100101110010011100100111010001101000,48,110011100011011001001011100100101100100111010001101000,54,110011100011011001011011100100101100100111010001101000,0.001,1
55,hamming,fqqnejbu,8,0110011001110001011100010110111001100101011010100110001001110101,64,01001101011001101000101110001011101110011001010110101001100010011110101,71,01001101011001101000101110001011101110011001010110101001100010011110101,0.001,0
56,hamming,ldnippvmlhkbsd,14,0110110001100100011011100110100101110000011100000111011001101101011011000110100001101011011000100111001101100100,112,10011101110001100010001101110011101001011100000111000001110110001101101011011000110100001101011011000100111001101100100,119,10011101110001100010001101110011101001011100000111000001110010001101101011011000110100001101011011000100111001101100100,0.001,1
57,hamming,aapevvlfe,9,011000010110000101110000011001010111011001110110011011000110011001100101,72,0101110100010110000010111000001110010101110110011101100110110000110011001100101,79,0101110100010110000010111000001110010101110110011101100110110000110011001100101,0.001,0
58,hamming,dvycbdmurfvf,12,011001000111011001111001011000110110001001100100011011010111010101110010011001100111011001100110,96,0001110101000110101100111100101010001101100010011001000110110100111010101110010011001100111011001100110,103,0001110101000110101100111100101010000101100010011001000110110100111010101110010011001100111011001100110,0.001,1
59,hamming,japmbt,6,011010100110000101110000011011010110001001110100,48,110111001010011100001011100000111011010110001001110100,54,110111001010011100001011100000111011010110001001110100,0.001,0
60,hamming,seweyi,6,011100110110010101110111011001010111100101101001,48,010111110011011100101011101110101001010111100101101001,54,010111110011011100101011101110101001010111100101101001,0.001,0
61,hamming,tidlivsb,8,0111010001101001011001000110110001101001011101100111001101100010,64,01011111010001100100101100100011101100011010010111011001110011011100010,71,01011111010001100100101100100011101100011010010111011001110011011100010,0.001,0
62,hamming,kltbqwvmjrtu,12,011010110110110001110100011000100111000101110111011101100110110101101010011100100111010001110101,96,1001110010110110011000111010001010001001110001011101110111011000110110101101010011100100111010001110101,103,1001110010110110011000111010001010001001110001011101110111011000110110101101010011100100111010001110101,0.001,0
63,hamming,bdscyquq,8,0110001001100100011100110110001101111001011100010111010101110001,64,10011100001001100010001110011011100011011110010111000101110101001110001,71,10011100001001100010001110011011100011011110010111000101110101001110001,0.001,0
64,hamming,hfitagi,7,01101000011001100110100101110100011000010110011101101001,56,10001100100001100011001101001011110100011000010110011101101001,62,10001100100001100011001101001011110100011000010110011101101001,0.001,0
65,hamming,sqbrstuo,8,0111001101110001011000100111001001110011011101000111010101101111,64,10001111001101111000101100010011110010011100110111010001110101001101111,71,10001111001101111000101100010011110010011100110111010001110101001101111,0.001,0
66,hamming,jvqfeeygb,9,011010100111011001110001011001100110010101100101011110010110011101100010,72,0101110010100111101100111000101010011001100101011001010111100100110011101100010,79,0101110010100111101100111000101010011001100101011001010111100100110011101100010,0.001,0
67,hamming,gpkxtmiiff,10,01100111011100000110101101111000011101000110110101101001011010010110011001100110,80,010111000111011010000011010110101110000111010001101101011010010011010010110011001100110,87,010111000111011010000011010110101110000111010001101101011010010011010010110011001100110,0.001,0
68,hamming,emizynwddkb,11,0110010101101101011010010111101001111001011011100111011101100100011001000110101101100010,88,00001101010101110110101101001010111010011110010110111001110111001100100011001000110101101100010,95,00001101010101110110101101001010111010011110010110111001110111001100100011001000110101101100010,0.001,0
69,hamming,dbstgbf,7,01100100011000100111001101110100011001110110001001100110,56,10001101010001100001001110011011110100011001110110001001100110,62,10001101010001100001001110011011110100011001110110001001100110,0.001,0
70,hamming,omjjrmbtfjx,11,0110111101101101011010100110101001110010011011010110001001110100011001100110101001111000,88,10001101111101100110101101010011101010011100100110110101100010001110100011001100110101001111000,95,10001101111101100110101101010011101010011100100110110101100010001110100011001100110101001111000,0.001,0
71,hamming,kvakrwigkvumf,13,01101011011101100110000101101011011100100111011101101001011001110110101101110110011101010110110101100110,104,100111001011011110110011000010111010110111001001110111011010010111001110110101101110110011101010110110101100110,111,100111001011011110110011000010111010110111001001110111011010010111001110110101101110110011101010110110101100110,0.001,0
72,hamming,isczabbnsukqkmz,15,011010010111001101100011011110100110000101100010011000100110111001110011011101010110101101110001011010110110110101111010,120,1100110010010110100110110001101011101001100001011000100110001001110111001110011011101010110101101110001011010110110110101111010,127,1100110010010110100110110001101011101001100001011000100110001001110111001110011011101010110101101110001011010110110110101111010,0.001,0
73,hamming,vuypuyhyjycpor,14,0111011001110101011110010111000001110101011110010110100001111001011010100111100101100011011100000110111101110010,112,10011111011001101010101111001010110000011101010111100101101000011111001011010100111100101100011011100000110111101110010,119,10011111011001101010101111001010110000011101010111100101101000011111001011010100111100101100011011100000110111101110010,0.001,0
74,hamming,cuaswr,6,011000110111010101100001011100110111011101110010,48,100111010011011110101011000010101100110111011101110010,54,100111010011011110101011000010101100110111011101110010,0.001,0
75,hamming,raccfkxixvnhl,13,01110010011000010110001101100011011001100110101101111000011010010111100001110110011011100110100001101100,104,110111100010011100001011000110111000110110011001101011011110000111010010111100001110110011011100110100001101100,111,110111100010011100001011000110111000110110011001101011011110000111010010111100001110110011011100110100001101100,0.001,0
76,hamming,ydcvvpiceiupi,13,01111001011001000110001101110110011101100111000001101001011000110110010101101001011101010111000001101001,104,000111101001011000100011000110111101100111011001110000011010010011000110110010101101001011101010111000001101001,111,000111101001011000100011000110111101100111011001110000011010010011000110110010101101001011101010111000001101001,0.001,0
77,hamming,zpgvidmuredxz,13,01111010011100000110011101110110011010010110010001101101011101010111001001100101011001000111100001111010,104,010011101010011010000011001110111101100110100101100100011011010111101010111001001100101011001000111100001111010,111,010011101010011010000011001110111101100110100101100100011011010111101010111001001100101011001000111100001111010,0.001,0
78,hamming,nmgsvvm,7,01101110011011010110011101110011011101100111011001101101,56,00011100111001110110101100111011110011011101100111011001101101,62,00011100111001110110101100111011110011011101100111011001101101,0.001,0
79,hamming,lpvpvrxmttjtzcl,15,011011000111000001110110011100000111011001110010011110000110110101110100011101000110101001110100011110100110001101101100,120,0100110111000111100000111011001011000001110110011100100111100000110110101110100011101000110101001110100011110100110001101101100,127,0100110111000111100000111011001011000001110110011100100111100000110110101110100011101000110101001110100011110100110001101101100,0.001,0
80,hamming,qbraurxmmwetqef,15,011100010110001001110010011000010111010101110010011110000110110101101101011101110110010101110100011100010110010101100110,120,0101111100010110000100111001001110000101110101011100100111100000110110101101101011101110110010101110100011100010110010101100110,127,0101111100010110000100111001001110000101110101011100100111100000110110101101101011101110110010101110100011100010110010101100110,0.001,0
81,hamming,uhjdnpezt,9,011101010110100001101010011001000110111001110000011001010111101001110100,72,0101111101010111010000110101001010010001101110011100000110010101111101001110100,79,0101111101010111010000110101001010010001101110011100000110010101111101001110100,0.001,0
82,hamming,uqskhqxxzgmud,13,01110101011100010111001101101011011010000111000101111000011110000111101001100111011011010111010101100100,104,100011110101011010001011100110111010110110100001110001011110000111110000111101001100111011011010111010101100100,111,100011110101011010001011100110111010110110100001110000011110000111110000111101001100111011011010111010101100100,0.001,1
83,hamming,ndycqap,7,01101110011001000111100101100011011100010110000101110000,56,00011101111001110010001111001011100011011100010110000101110000,62,00011101111001110010001111001011100011011100010110000101110000,0.001,0
84,hamming,onpmcm,6,011011110110111001110000011011010110001101101101,48,000011011111011001110011100000111011010110001101101101,54,000011011111011001110011100000111011010110001101101101,0.001,0
85,hamming,xgutgsatjqjgzdx,15,011110000110011101110101011101000110011101110011011000010111010001101010011100010110101001100111011110100110010001111000,120,0100111110000110001110111010101111010001100111011100110110000101111010001101010011100010110101001100111011110100110010001111000,127,0100111110000110001110111010101111010001100111011100110110000101111010001101010011100010110101001100111011110100110010001111000,0.001,0
86,hamming,rwoxnztdlj,10,01110010011101110110111101111000011011100111101001110100011001000110110001101010,80,100011100010011010111011011110111110000110111001111010011101000111001000110110001101010,87,100011100010011010111011011110111110000110111001111010011101000111001000110110001101010,0.001,0
87,hamming,sabbkinpp,9,011100110110000101100010011000100110101101101001011011100111000001110000,72,1000111000110110000010110001001010001001101011011010010110111000111000001110000,79,1000111000110110000010110001001010001001101011011010010110111000111000001110000,0.001,0
88,hamming,vidcitavkazvznb,15,011101100110100101100100011000110110100101110100011000010111011001101011011000010111101001110110011110100110111001100010,120,1001111001100111010010110010001010001101101001011101000110000100111011001101011011000010111101001110110011110100110111001100010,127,1001111001100111010010110010001010001101101001011101000110000100111011001111011011000010111101001110110011110100110111001100010,0.001,1
89,hamming,gdkrrgzw,8,0110011101100100011010110111001001110010011001110111101001110111,64,00001101011101110010001101011011110010011100100110011101111010001110111,71,00001101011101110010001101011011110010011100100110011101111010001110111,0.001,0
90,hamming,lvmmodthitscf,13,01101100011101100110110101101101011011110110010001110100011010000110100101110100011100110110001101100110,104,100111001100011110110011011010111011010110111101100100011101000011010000110100101110100011100110110001101100110,111,100111001100011110110011011010111011010110111101100100011101000011010000110100101110100011100110110001101100110,0.001,0
91,hamming,xyweiaftudijtk,14,0111100001111001011101110110010101101001011000010110011001110100011101010110010001101001011010100111010001101011,112,01001110100001111100101110111011100101011010010110000101100110011110100011101010110010001101001011010100111010001101011,119,01001110100001111100101111111011100101011010010110000101100110011110100011101010110010001101001011010100111010001101011,0.001,1
92,hamming,wdogzvur,8,0111011101100100011011110110011101111010011101100111010101110010,64,10011111011101100010001101111011100111011110100111011001110101001110010,71,10011111011101100010001101111011100111011110100111011001110101001110010,0.001,0
93,hamming,enjtlnb,7,01100101011011100110101001110100011011000110111001100010,56,10001101010101100111001101010011110100011011000110111001100010,62,10001101010101100111001101010011110100011011000110111001100010,0.001,0
94,hamming,wrpsftpqcsbrz,13,01110111011100100111000001110011011001100111010001110000011100010110001101110011011000100111001001111010,104,100111110111011110010011100000101100110110011001110100011100000111100010110001101110011011000100111001001111010,111,100111110111011110010011100000101100110110011001110100011100000111100010110001101110011011000100111001001111010,0.001,0
95,hamming,ipgkkluubeh,11,0110100101110000011001110110101101101011011011000111010101110101011000100110010101101000,88,01001101100101111000001100111010101011011010110110110001110101011110101011000100110010101101000,95,01001101100101111000001100111010101011011010110110110001110101011110101011000100110010101101000,0.001,0
96,hamming,fgwrrbg,7,01100110011001110111011101110010011100100110001001100111,56,00001101011001100011101110111011110010011100100110001001100111,62,00001101011001100011101110111011110010011100100110001001100111,0.001,0
97,hamming,cbcvrfqldnxc,12,011000110110001001100011011101100111001001100110011100010110110001100100011011100111100001100011,96,1101110100110111000100110001101011011001110010011001100111000100110110001100100011011100111100001100011,103,1101110100110111000100110001101011011001111010011001100111000100110110001100100011011100111100001100011,0.001,1
98,hamming,btcctuhrfr,10,01100010011101000110001101100011011101000111010101101000011100100110011001110010,80,000111000010011110100011000110111000110111010001110101011010000011100100110011001110010,87,000111000010011110100011000110111000110111010001110101011010000011100100110011001110010,0.001,0
99,hamming,lgtjxxjmvrdnxm,14,0110110001100111011101000110101001111000011110000110101001101101011101100111001001100100011011100111100001101101,112,01001100110001100011101110100011101010011110000111100001101010011101101011101100111001001100100011011100111100001101101,119,01001100110001100011101110100011101010011110000111100001101010011101101011101100111001001100100011011100111100001101101,0.001,0
100,hamming,rzrtev,6,011100100111101001110010011101000110010101110110,48,010011110010011111010011100100101101000110010101110110,54,010011110010011111010011100100101101000110010101110110,0.001,0
101,hamming,cynghofz,8,0110001101111001011011100110011101101000011011110110011001111010,64,10011100001101111100101101110011100111011010000110111101100110011111010,71,10011100001101111100101101110011100111011010000110111101100110011111010,0.001,0
102,hamming,jfaus,5,0110101001100110011000010111010101110011,40,1100110010100110001100110000101111010101110011,46,1100110010100110001100110000101111010101110011,0.001,0
103,hamming,pbdbwnidc,9,011100000110001001100100011000100111011101101110011010010110010001100011,72,1000111100000110000100110010001110001001110111011011100110100101110010001100011,79,1000111100000110000100110010001110001001110111011011100110100101110010001100011,0.001,0
104,hamming,ubipvuba,8,0111010101100010011010010111000001110110011101010110001001100001,64,00001110010101100001001101001011110000011101100111010101100010011100001,71,00001110010101100001001101001011110000011101100111010101100010011100001,0.001,0
105,hamming,cgrvbiacsscbz,13,01100011011001110111001001110110011000100110100101100001011000110111001101110011011000110110001001111010,104,000011000011011000111011100100101101100110001001101001011000010011000110111001101110011011000110110001001111010,111,000011000011011000111011100100101101100110001001101001011000010011000110110001101110011011000110110001001111010,0.001,1
106,hamming,chhllhip,8,0110001101101000011010000110110001101100011010000110100101110000,64,11001101001101100100001101000010101100011011000110100001101001011110000,71,11001101001101100100001101000010101100011011000110100001101001011110000,0.001,0
107,hamming,tfevvntcxsb,11,0111010001100110011001010111011001110110011011100111010001100011011110000111001101100010,88,00001111010001100011001100101010110110011101100110111001110100001100011011110000111001101100010,95,00001111010001100011001100101010110110011101100110111001110100001100011011110000111001101100010,0.001,0
108,hamming,rjajhijfmaxgow,14,0111001001101010011000010110101001101000011010010110101001100110011011010110000101111000011001110110111101110111,112,01011110001001110101001100001011101010011010000110100101101010011100110011011010110000101111000011001110110111101110111,119,01011110001011110101001100001011101010011010000110100101101010011100110011011010110000101111000011001110110111101110111,0.001,1
109,hamming,mmhfy,5,0110110101101101011010000110011001111001,40,1001110111010111011010110100001010011001111001,46,1001110111010111011010110100001010011001111001,0.001,0
110,hamming,necckuaubakg,12,011011100110010101100011011000110110101101110101011000010111010101100010011000010110101101100111,96,0100110111100111001010110001101110001101101011011101010110000101111010101100010011000010110101101100111,103,0100110111100111001010110001101110001101101011011101010110000101111010101100010011000010110101101100111,0.001,0
111,hamming,lbjpkcm,7,01101100011000100110101001110000011010110110001101101101,56,11001100110001110001001101010010110000011010110110001101101101,62,11001100110001110001001101010010110000011010110110001101101101,0.001,0
112,hamming,cjuik,5,0110001101101010011101010110100101101011,40,1000110000110110010100111010101010100101101011,46,1000110000110110010100111010101010100101101011,0.001,0
113,hamming,gxipobbofk,10,01100111011110000110100101110000011011110110001001100010011011110110011001101011,80,000011000111011011000011010010101100000110111101100010011000100111011110110011001101011,87,000011000111011011000011010010101100000110111101100010011000100111011110110011001101011,0.001,0
114,hamming,zphnkazuywbwg,13,01111010011100000110100001101110011010110110000101111010011101010111100101110111011000100111011101100111,104,110111101010011010000011010000101011100110101101100001011110100011101010111100101110111011000100111011101100111,111,110111101010011010000011010000101011100110101101100001011110100011101010111100101110111011000100111011101100111,0.001,0
115,hamming,ujbqj,5,0111010101101010011000100111000101101010,40,1100111101010110010100110001001111000101101010,46,1100111101010110010100110001001111000101101010,0.001,0
116,hamming,hcislloqmgbv,12,011010000110001101101001011100110110110001101100011011110111000101101101011001110110001001110110,96,1100110110000111000110110100101111001101101100011011000110111100111000101101101011001110110001001110110,103,1100110110000111000110110100101111001101101100011011000110111100111000101101101011001110110001001110110,0.001,0
117,hamming,jqwwusniqj,10,01101010011100010111011101110111011101010111001101101110011010010111000101101010,80,110111001010011110001011101110101101110111010101110011011011100011010010111000101101010,87,110111001010011110001011101110101101110111010101110011011011100011010010111000101101010,0.001,0
118,hamming,capnunqucsi,11,0110001101100001011100000110111001110101011011100111000101110101011000110111001101101001,88,00011100001101110000101110000010101110011101010110111001110001001110101011000110111001101101001,95,00011100001101110000101110000010101110011101010110111001110001001110101011000110111001101101001,0.001,0
119,hamming,uoagyegse,9,011101010110111101100001011001110111100101100101011001110111001101100101,72,1100111101010111011110110000101010011101111001011001010110011101111001101100101,79,1100111101010111011110110000101010011101111001011001010110011101111001101100101,0.001,0
120,hamming,lvqfcmkpovqvba,14,0110110001110110011100010110011001100011011011010110101101110000011011110111011001110001011101100110001001100001,112,10011100110001101011001110001010100110011000110110110101101011011110000011011110111011001110001011101100110001001100001,119,10011100110001101011001110001010100110011000110110110101101011011110000011011110111011001110001011101100110001011100001,0.001,1
121,hamming,pkejydrgwjawfwv,15,011100000110101101100101011010100111100101100100011100100110011101110111011010100110000101110111011001100111011101110110,120,1101111100000111010110110010101010101001111001011001000111001001110011101110111011010100110000101110111011001100111011101110110,127,1101111100000111010110110010101010101001111001011001000111001001110011101110111011010100110000101110111011001100111011101110110,0.001,0
